,Country,Customers
35,United Kingdom,354345
14,Germany,9042
13,France,8342
10,EIRE,7238
30,Spain,2485
23,Netherlands,2363
3,Belgium,2031
32,Switzerland,1842
26,Portugal,1462
0,Australia,1185
24,Norway,1072
18,Italy,758
6,Channel Islands,748
12,Finland,685
7,Cyprus,614
31,Sweden,451
1,Austria,398
9,Denmark,380
25,Poland,330
19,Japan,321
17,Israel,248
36,Unspecified,244
29,Singapore,222
16,Iceland,182
33,USA,179
5,Canada,151
15,Greece,145
22,Malta,112
34,United Arab Emirates,68
11,European Community,60
27,RSA,58
20,Lebanon,45
21,Lithuania,35
4,Brazil,32
8,Czech Republic,25
2,Bahrain,17
28,Saudi Arabia,9
