,CustomerID,Recency,Frequency,Monetary,R,F,M,rfm_group,rfm_score,rfm_catrgory,Kmeans Cluster,Kmeans Cluster Category
0,12346,325,1,77183.6,4,1,4,414,9,Silver,0,One
1,12347,2,182,4310.000000000001,1,4,4,144,9,Silver,3,Four
2,12348,75,31,1797.24,3,2,4,324,9,Silver,0,One
3,12349,18,73,1757.5500000000002,2,3,4,234,9,Silver,0,One
4,12350,310,17,334.4,4,1,2,412,7,Gold,1,Two
5,12352,36,85,2506.0400000000004,2,3,4,234,9,Silver,0,One
6,12353,204,4,89.0,4,1,1,411,6,Platinum,1,Two
7,12354,232,58,1079.3999999999999,4,3,3,433,10,Bronze,0,One
8,12355,214,13,459.4,4,1,2,412,7,Gold,1,Two
9,12356,22,59,2811.43,2,3,4,234,9,Silver,0,One
10,12357,33,131,6207.67,2,4,4,244,10,Bronze,3,Four
11,12358,1,19,1168.06,1,2,3,123,6,Platinum,2,Three
12,12359,57,248,6372.58,3,4,4,344,11,Bronze,3,Four
13,12360,52,129,2662.06,3,4,4,344,11,Bronze,0,One
14,12361,287,10,189.9,4,1,1,411,6,Platinum,1,Two
15,12362,3,266,5226.23,1,4,4,144,9,Silver,3,Four
16,12363,109,23,552.0,3,2,2,322,7,Gold,1,Two
17,12364,7,85,1313.1000000000001,1,3,3,133,7,Gold,3,Four
18,12365,291,22,641.3799999999999,4,2,2,422,8,Gold,1,Two
19,12367,4,11,168.89999999999998,1,1,1,111,3,Platinum,2,Three
20,12370,51,167,3545.6899999999996,3,4,4,344,11,Bronze,0,One
21,12371,44,63,1887.96,2,3,4,234,9,Silver,0,One
22,12372,71,52,1298.0400000000002,3,3,3,333,9,Silver,0,One
23,12373,311,14,364.6,4,1,2,412,7,Gold,1,Two
24,12374,25,33,742.93,2,2,3,223,7,Gold,2,Three
25,12375,10,17,457.5,1,1,2,112,4,Platinum,2,Three
26,12377,315,77,1628.12,4,3,3,433,10,Bronze,0,One
27,12378,129,219,4008.62,3,4,4,344,11,Bronze,0,One
28,12379,81,40,852.24,3,2,3,323,8,Gold,0,One
29,12380,21,104,2724.8100000000004,2,4,4,244,10,Bronze,3,Four
30,12381,4,87,1845.3100000000004,1,3,4,134,8,Gold,3,Four
31,12383,184,99,1850.56,4,3,4,434,11,Bronze,0,One
32,12384,28,27,585.2700000000001,2,2,2,222,6,Platinum,2,Three
33,12386,337,10,401.90000000000003,4,1,2,412,7,Gold,1,Two
34,12388,15,100,2780.6600000000003,1,3,4,134,8,Gold,3,Four
35,12390,79,32,549.84,3,2,2,322,7,Gold,0,One
36,12391,21,100,460.89,2,3,2,232,7,Gold,2,Three
37,12393,72,64,1582.6000000000001,3,3,3,333,9,Silver,0,One
38,12394,63,27,1272.48,3,2,3,323,8,Gold,0,One
39,12395,19,156,3018.63,2,4,4,244,10,Bronze,3,Four
40,12397,35,126,2409.9,2,4,4,244,10,Bronze,0,One
41,12398,45,85,1635.6599999999996,2,3,3,233,8,Gold,0,One
42,12399,119,59,1108.65,3,3,3,333,9,Silver,0,One
43,12401,303,5,84.3,4,1,1,411,6,Platinum,1,Two
44,12402,323,11,225.6,4,1,1,411,6,Platinum,1,Two
45,12403,49,5,427.7,2,1,2,212,5,Platinum,1,Two
46,12405,148,54,1710.3900000000003,4,3,4,434,11,Bronze,0,One
47,12406,22,105,3415.3,2,4,4,244,10,Bronze,3,Four
48,12407,49,77,1708.1199999999997,2,3,4,234,9,Silver,0,One
49,12408,32,105,2888.55,2,4,4,244,10,Bronze,0,One
50,12409,78,109,11072.67,3,4,4,344,11,Bronze,0,One
51,12410,308,26,693.3299999999999,4,2,3,423,9,Silver,1,Two
52,12412,74,61,1226.8799999999999,3,3,3,333,9,Silver,0,One
53,12413,66,38,758.1,3,2,3,323,8,Gold,0,One
54,12414,217,18,562.41,4,2,2,422,8,Gold,1,Two
55,12415,24,716,124914.53,2,4,4,244,10,Bronze,3,Four
56,12417,3,192,3649.1000000000004,1,4,4,144,9,Silver,3,Four
57,12418,112,34,668.58,3,2,2,322,7,Gold,0,One
58,12420,63,29,600.3900000000001,3,2,2,322,7,Gold,0,One
59,12421,15,45,807.0400000000001,1,3,3,133,7,Gold,2,Three
60,12422,95,39,803.5599999999998,3,2,3,323,8,Gold,0,One
61,12423,1,125,1859.31,1,4,4,144,9,Silver,3,Four
62,12424,162,30,1760.9599999999996,4,2,4,424,10,Bronze,0,One
63,12425,78,36,777.1999999999998,3,2,3,323,8,Gold,0,One
64,12426,194,30,582.73,4,2,2,422,8,Gold,0,One
65,12427,21,31,825.8000000000001,2,2,3,223,7,Gold,2,Three
66,12428,25,294,7956.46,2,4,4,244,10,Bronze,3,Four
67,12429,9,97,3750.4,1,3,4,134,8,Gold,3,Four
68,12430,43,11,256.4,2,1,1,211,4,Platinum,1,Two
69,12431,35,236,6487.45,2,4,4,244,10,Bronze,3,Four
70,12432,42,108,5059.319999999999,2,4,4,244,10,Bronze,0,One
71,12433,1,420,13375.869999999999,1,4,4,144,9,Silver,3,Four
72,12434,84,50,806.14,3,3,3,333,9,Silver,0,One
73,12435,79,36,7829.89,3,2,4,324,9,Silver,0,One
74,12436,99,16,509.01,3,1,2,312,6,Platinum,1,Two
75,12437,1,200,4951.41,1,4,4,144,9,Silver,3,Four
76,12438,14,98,2906.8500000000004,1,3,4,134,8,Gold,3,Four
77,12441,366,11,173.55,4,1,1,411,6,Platinum,1,Two
78,12442,3,12,172.06,1,1,1,111,3,Platinum,2,Three
79,12444,21,177,5005.46,2,4,4,244,10,Bronze,3,Four
80,12445,22,4,133.4,2,1,1,211,4,Platinum,1,Two
81,12446,57,58,1002.3100000000001,3,3,3,333,9,Silver,0,One
82,12447,243,26,476.49,4,2,2,422,8,Gold,1,Two
83,12448,44,22,449.4500000000001,2,2,2,222,6,Platinum,2,Three
84,12449,22,191,4067.2900000000004,2,4,4,244,10,Bronze,3,Four
85,12450,156,8,197.88,4,1,1,411,6,Platinum,1,Two
86,12451,10,354,9035.52,1,4,4,144,9,Silver,3,Four
87,12452,16,22,430.57,1,2,2,122,5,Platinum,2,Three
88,12453,134,43,707.09,3,3,3,333,9,Silver,0,One
89,12454,56,15,3528.34,3,1,4,314,8,Gold,0,One
90,12455,73,90,2466.8599999999997,3,3,4,334,10,Bronze,0,One
91,12456,44,125,3181.04,2,4,4,244,10,Bronze,0,One
92,12457,66,63,2363.23,3,3,4,334,10,Bronze,0,One
93,12458,71,38,947.4,3,2,3,323,8,Gold,0,One
94,12461,94,35,826.88,3,2,3,323,8,Gold,0,One
95,12462,18,62,1189.5900000000001,2,3,3,233,8,Gold,0,One
96,12463,53,83,1344.7800000000002,3,3,3,333,9,Silver,0,One
97,12464,10,29,1212.05,1,2,3,123,6,Platinum,2,Three
98,12465,17,47,742.19,1,3,3,133,7,Gold,2,Three
99,12468,187,38,729.54,4,2,3,423,9,Silver,0,One
100,12471,2,460,19824.050000000003,1,4,4,144,9,Silver,3,Four
101,12472,32,339,6572.110000000001,2,4,4,244,10,Bronze,3,Four
102,12473,29,168,3938.55,2,4,4,244,10,Bronze,3,Four
103,12474,17,424,7375.789999999999,1,4,4,144,9,Silver,3,Four
104,12475,53,36,723.3799999999999,3,2,3,323,8,Gold,0,One
105,12476,15,233,6816.42,1,4,4,144,9,Silver,3,Four
106,12477,22,300,13219.740000000002,2,4,4,244,10,Bronze,3,Four
107,12478,3,36,680.9900000000001,1,2,3,123,6,Platinum,2,Three
108,12479,11,31,527.2,1,2,2,122,5,Platinum,2,Three
109,12480,28,154,3281.63,2,4,4,244,10,Bronze,3,Four
110,12481,22,217,5596.32,2,4,4,244,10,Bronze,3,Four
111,12483,17,75,2484.98,1,3,4,134,8,Gold,3,Four
112,12484,32,346,4541.719999999999,2,4,4,244,10,Bronze,3,Four
113,12488,9,55,1298.6600000000003,1,3,3,133,7,Gold,2,Three
114,12489,336,15,334.93,4,1,2,412,7,Gold,1,Two
115,12490,5,245,5417.93,1,4,4,144,9,Silver,3,Four
116,12491,38,26,460.40000000000003,2,2,2,222,6,Platinum,2,Three
117,12492,63,20,263.21,3,2,1,321,6,Platinum,1,Two
118,12493,165,22,433.74,4,2,2,422,8,Gold,1,Two
119,12494,15,77,1246.1,1,3,3,133,7,Gold,0,One
120,12497,81,14,1043.1,3,1,3,313,7,Gold,0,One
121,12498,21,23,403.7,2,2,2,222,6,Platinum,2,Three
122,12500,23,61,4257.820000000001,2,3,4,234,9,Silver,3,Four
123,12501,336,149,2169.39,4,4,4,444,12,Bronze,0,One
124,12502,95,147,3723.87,3,4,4,344,11,Bronze,0,One
125,12504,18,9,482.04999999999995,2,1,2,212,5,Platinum,2,Three
126,12506,232,23,73.50000000000001,4,2,1,421,7,Gold,1,Two
127,12507,134,22,1304.81,3,2,3,323,8,Gold,0,One
128,12508,26,69,398.27000000000004,2,3,2,232,7,Gold,2,Three
129,12509,284,7,176.5,4,1,1,411,6,Platinum,1,Two
130,12510,142,33,982.5699999999999,4,2,3,423,9,Silver,0,One
131,12512,66,34,138.03,3,2,1,321,6,Platinum,1,Two
