,Features,Importance
0,TotalCharges,0.01800312034570936
1,tenure,0.018933899821243244
2,MonthlyCharges,0.014098498525371903
3,Contract_Month-to-month,0.014868262825114123
4,TechSupport_No,0.011573637737557447
5,PaymentMethod_Electronic check,0.012298678132209204
6,OnlineSecurity_No,0.003271553048626052
7,InternetService_Fiber optic,0.002614457684533442
8,Contract_Two year,0.01426020440938221
9,gender_Male,0.003381969182315849
10,gender_Female,0.01371078767085578
11,OnlineBackup_No,0.013881241193717244
12,PaperlessBilling_No,0.02939149445967991
13,PaperlessBilling_Yes,0.002309737773313701
14,Partner_Yes,0.030476385921244922
15,MultipleLines_No,0.003533048158962709
16,OnlineBackup_Yes,0.011566017144664507
17,Partner_No,0.01656202618471469
18,SeniorCitizen_0.0,0.0017021256991364539
19,InternetService_DSL,0.014197627898077736
20,MultipleLines_Yes,0.01348804925805752
21,DeviceProtection_No,0.004719330057604598
22,SeniorCitizen_1.0,0.011944645401855393
23,TechSupport_Yes,0.038906951611487155
24,Contract_One year,0.0017921878411473217
25,PaymentMethod_Bank transfer (automatic),0.012876724443701604
26,Dependents_Yes,0.011892058822224159
27,StreamingMovies_Yes,0.00315644152828829
28,PaymentMethod_Credit card (automatic),0.012015599252398703
29,StreamingTV_Yes,0.011823606208217895
30,DeviceProtection_Yes,0.002568838927957885
31,StreamingTV_No,0.0122582501202156
32,StreamingMovies_No,0.05441833939468617
33,Dependents_No,0.012700293960622847
34,OnlineSecurity_Yes,0.020882248419747836
35,PaymentMethod_Mailed check,0.015760520180365584
36,DeviceProtection_No internet service,0.01524348856744546
37,OnlineSecurity_No internet service,0.012524272932489424
38,MultipleLines_No phone service,0.012159112699900016
39,PhoneService_No,0.03383011483400218
40,StreamingTV_No internet service,0.010742230598934404
41,PhoneService_Yes,0.014071019766152746
42,StreamingMovies_No internet service,0.01321297170299935
43,InternetService_No,0.12475088694365159
44,TechSupport_No internet service,0.1230112361622812
45,OnlineBackup_No internet service,0.14861580654713466
