YEAR,QUARTER,CATEGORY_TYPE,CATEGORY_NAME,AMOUNT_AT_CURRENT,PERCENT_SHARE_AT_CURRENT,AMOUNT_AT_CONSTANT,GROWTH_RATE_AT_CONSTANT,DATE_SUBMITTED,TIME_SUBMITTED
2009,Q1,Agriculture,Agriculture,"187,472.98",26.8,"202,706.40",,27/01/2020,3:03 PM
2009,Q1,Industry,Mining & Quarrying,"3,062.48",0.4,"4,194.77",,27/01/2020,3:03 PM
2009,Q1,Industry,Manufacturing,"75,218.90",10.7,"85,952.02",,27/01/2020,3:03 PM
2009,Q1,Industry,Electricity & water supply,"13,357.44",1.9,"15,488.98",,27/01/2020,3:03 PM
2009,Q1,Industry,Construction,"24,609.02",3.5,"24,861.70",,27/01/2020,3:03 PM
2009,Q1,sevices,"Wholesale & Retail Trade

","45,579.60",6.5,"45,857.86",,27/01/2020,3:03 PM
2009,Q1,sevices,Accommodation & restaurant,"17,079.32",2.4,"17,240.95",,27/01/2020,3:03 PM
2009,Q1,sevices,Transport & Storage,"43,974.07",6.3,"47,475.56",,27/01/2020,3:03 PM
2009,Q1,sevices,Information & Communication,"18,019.55",2.6,"17,583.98",,27/01/2020,3:03 PM
2009,Q1,sevices,Financial & Insurance,"35,019.04",5,"36,513.75",,27/01/2020,3:03 PM
2009,Q1,sevices,Public administration,"32,961.82",4.7,"32,471.87",,27/01/2020,3:03 PM
2009,Q1,sevices,"Professional, Administration & Support Services","18,230.73",2.6,"18,522.36",,27/01/2020,3:03 PM
2009,Q1,sevices,Real estate,"60,022.80",8.6,"60,528.46",,27/01/2020,3:03 PM
2009,Q1,sevices,Education,"45,956.87",6.6,"44,244.83",,27/01/2020,3:03 PM
2009,Q1,sevices,Health,"14,047.07",2,"14,295.97",,27/01/2020,3:03 PM
2009,Q1,sevices,Other services,"10,580.82",1.5,"10,611.03",,27/01/2020,3:03 PM
2009,Q1,sevices,FISIM,"-13,631.55",-1.9,"-14,410.93",,27/01/2020,3:03 PM
2009,Q1,,All industries at basic prices,"631,560.96",90.2,"664,139.57",,27/01/2020,3:03 PM
2009,Q1,,Taxes on products,"68,830.50",9.8,"73,766.77",,27/01/2020,3:03 PM
2009,Q1,,GDP at market prices,"700,391.46",100,"737,906.34",,27/01/2020,3:03 PM
2009,Q1,,GDP (seasonally adjusted),"735,129.51",,"702,855.38",,27/01/2020,3:03 PM
2009,Q2,Agriculture,Agriculture,"181,107.85",25.3,"180,957.76",,27/01/2020,3:03 PM
2009,Q2,Industry,Mining & Quarrying,"4,759.13",0.7,"4,257.25",,27/01/2020,3:03 PM
2009,Q2,Industry,Manufacturing,"84,170.32",11.8,"84,115.29",,27/01/2020,3:03 PM
2009,Q2,Industry,Electricity & water supply,"14,726.01",2.1,"16,280.58",,27/01/2020,3:03 PM
2009,Q2,Industry,Construction,"27,938.82",3.9,"28,116.68",,27/01/2020,3:03 PM
2009,Q2,sevices,"Wholesale & Retail Trade

","48,046.21",6.7,"47,712.48",,27/01/2020,3:03 PM
2009,Q2,sevices,Accommodation & restaurant,"10,954.09",1.5,"10,881.55",,27/01/2020,3:03 PM
2009,Q2,sevices,Transport & Storage,"51,491.54",7.2,"50,936.54",,27/01/2020,3:03 PM
2009,Q2,sevices,Information & Communication,"17,105.88",2.4,"16,403.08",,27/01/2020,3:03 PM
2009,Q2,sevices,Financial & Insurance,"36,706.32",5.1,"36,800.25",,27/01/2020,3:03 PM
2009,Q2,sevices,Public administration,"29,614.67",4.1,"32,355.28",,27/01/2020,3:03 PM
2009,Q2,sevices,"Professional, Administration & Support Services","18,108.22",2.5,"18,128.19",,27/01/2020,3:03 PM
2009,Q2,sevices,Real estate,"61,805.90",8.6,"61,259.49",,27/01/2020,3:03 PM
2009,Q2,sevices,Education,"45,326.90",6.3,"43,899.03",,27/01/2020,3:03 PM
2009,Q2,sevices,Health,"13,694.61",1.9,"13,799.18",,27/01/2020,3:03 PM
2009,Q2,sevices,Other services,"10,534.05",1.5,"10,450.35",,27/01/2020,3:03 PM
2009,Q2,sevices,FISIM,"-14,636.41",-2,"-14,721.81",,27/01/2020,3:03 PM
2009,Q2,,All industries at basic prices,"641,454.12",89.7,"641,631.17",,27/01/2020,3:03 PM
2009,Q2,,Taxes on products,"73,727.65",10.3,"71,732.82",,27/01/2020,3:03 PM
2009,Q2,,GDP at market prices,"715,181.77",100,"713,363.99",,27/01/2020,3:03 PM
2009,Q2,,GDP (seasonally adjusted),"768,495.64",,"711,722.77",,27/01/2020,3:03 PM
2009,Q3,Agriculture,Agriculture,"146,789.84",20.6,"143,110.60",,27/01/2020,3:03 PM
2009,Q3,Industry,Mining & Quarrying,"4,999.72",0.7,"4,787.26",,27/01/2020,3:03 PM
2009,Q3,Industry,Manufacturing,"88,896.19",12.5,"85,320.89",,27/01/2020,3:03 PM
2009,Q3,Industry,Electricity & water supply,"17,496.03",2.5,"15,843.19",,27/01/2020,3:03 PM
2009,Q3,Industry,Construction,"28,940.94",4.1,"28,901.51",,27/01/2020,3:03 PM
2009,Q3,sevices,"Wholesale & Retail Trade

","53,093.69",7.4,"53,652.81",,27/01/2020,3:03 PM
2009,Q3,sevices,Accommodation & restaurant,"13,062.35",1.8,"12,959.56",,27/01/2020,3:03 PM
2009,Q3,sevices,Transport & Storage,"52,344.91",7.3,"50,862.32",,27/01/2020,3:03 PM
2009,Q3,sevices,Information & Communication,"21,839.54",3.1,"21,868.92",,27/01/2020,3:03 PM
2009,Q3,sevices,Financial & Insurance,"38,697.14",5.4,"37,999.96",,27/01/2020,3:03 PM
2009,Q3,sevices,Public administration,"33,843.64",4.7,"31,866.23",,27/01/2020,3:03 PM
2009,Q3,sevices,"Professional, Administration & Support Services","20,109.98",2.8,"20,015.90",,27/01/2020,3:03 PM
2009,Q3,sevices,Real estate,"61,967.81",8.7,"62,002.06",,27/01/2020,3:03 PM
2009,Q3,sevices,Education,"44,323.78",6.2,"44,880.46",,27/01/2020,3:03 PM
2009,Q3,sevices,Health,"14,427.84",2,"14,354.30",,27/01/2020,3:03 PM
2009,Q3,sevices,Other services,"10,697.22",1.5,"10,754.03",,27/01/2020,3:03 PM
2009,Q3,sevices,FISIM,"-15,334.99",-2.1,"-14,886.42",,27/01/2020,3:03 PM
2009,Q3,,All industries at basic prices,"636,195.64",89.1,"624,293.60",,27/01/2020,3:03 PM
2009,Q3,,Taxes on products,"77,628.75",10.9,"80,966.59",,27/01/2020,3:03 PM
2009,Q3,,GDP at market prices,"713,824.39",100,"705,260.19",,27/01/2020,3:03 PM
2009,Q3,,GDP (seasonally adjusted),"795,089.70",,"722,387.63",,27/01/2020,3:03 PM
2009,Q4,Agriculture,Agriculture,"153,599.00",20.9,"142,194.90",,27/01/2020,3:03 PM
2009,Q4,Industry,Mining & Quarrying,"5,313.07",0.7,"4,895.12",,27/01/2020,3:03 PM
2009,Q4,Industry,Manufacturing,"94,246.83",12.8,"87,144.04",,27/01/2020,3:03 PM
2009,Q4,Industry,Electricity & water supply,"18,452.38",2.5,"16,419.11",,27/01/2020,3:03 PM
2009,Q4,Industry,Construction,"30,732.14",4.2,"30,341.02",,27/01/2020,3:03 PM
2009,Q4,sevices,"Wholesale & Retail Trade

","53,312.42",7.3,"52,808.77",,27/01/2020,3:03 PM
2009,Q4,sevices,Accommodation & restaurant,"10,413.97",1.4,"10,427.68",,27/01/2020,3:03 PM
2009,Q4,sevices,Transport & Storage,"57,963.25",7.9,"56,499.35",,27/01/2020,3:03 PM
2009,Q4,sevices,Information & Communication,"16,726.10",2.3,"17,835.09",,27/01/2020,3:03 PM
2009,Q4,sevices,Financial & Insurance,"39,988.25",5.4,"39,096.78",,27/01/2020,3:03 PM
2009,Q4,sevices,Public administration,"31,386.68",4.3,"31,113.15",,27/01/2020,3:03 PM
2009,Q4,sevices,"Professional, Administration & Support Services","20,786.95",2.8,"20,569.42",,27/01/2020,3:03 PM
2009,Q4,sevices,Real estate,"62,749.51",8.5,"62,756.01",,27/01/2020,3:03 PM
2009,Q4,sevices,Education,"42,385.03",5.8,"44,968.24",,27/01/2020,3:03 PM
2009,Q4,sevices,Health,"16,516.51",2.2,"16,236.58",,27/01/2020,3:03 PM
2009,Q4,sevices,Other services,"10,780.63",1.5,"10,777.30",,27/01/2020,3:03 PM
2009,Q4,sevices,FISIM,"-15,770.08",-2.1,"-15,353.86",,27/01/2020,3:03 PM
2009,Q4,,All industries at basic prices,"649,582.64",88.5,"628,728.72",,27/01/2020,3:03 PM
2009,Q4,,Taxes on products,"84,709.44",11.5,"78,430.15",,27/01/2020,3:03 PM
2009,Q4,,GDP at market prices,"734,292.08",100,"707,158.87",,27/01/2020,3:03 PM
2009,Q4,,GDP (seasonally adjusted),"810,527.79",,"726,698.58",,27/01/2020,3:03 PM
2010,Q1,Agriculture,Agriculture,"234,215.00",29.1,"221,843.00",9.4,27/01/2020,3:03 PM
2010,Q1,Industry,Mining & Quarrying,"5,197.00",0.6,"5,413.00",29,27/01/2020,3:03 PM
2010,Q1,Industry,Manufacturing,"91,713.00",11.4,"88,131.00",2.5,27/01/2020,3:03 PM
2010,Q1,Industry,Electricity & water supply,"20,424.00",2.5,"16,807.00",8.5,27/01/2020,3:03 PM
2010,Q1,Industry,Construction,"29,485.00",3.7,"28,671.00",15.3,27/01/2020,3:03 PM
2010,Q1,sevices,"Wholesale & Retail Trade

","50,607.00",6.3,"48,967.32",6.8,27/01/2020,3:03 PM
2010,Q1,sevices,Accommodation & restaurant,"16,405.00",2,"17,515.00",1.6,27/01/2020,3:03 PM
2010,Q1,sevices,Transport & Storage,"51,058.00",6.4,"49,708.00",4.7,27/01/2020,3:03 PM
2010,Q1,sevices,Information & Communication,"16,156.00",2,"19,362.00",10.1,27/01/2020,3:03 PM
2010,Q1,sevices,Financial & Insurance,"40,513.00",5,"41,354.00",13.3,27/01/2020,3:03 PM
2010,Q1,sevices,Public administration,"33,146.00",4.1,"32,450.00",-0.1,27/01/2020,3:03 PM
2010,Q1,sevices,"Professional, Administration & Support Services","19,872.00",2.5,"19,560.00",5.6,27/01/2020,3:03 PM
2010,Q1,sevices,Real estate,"63,198.00",7.9,"63,532.00",5,27/01/2020,3:03 PM
2010,Q1,sevices,Education,"43,572.00",5.4,"48,671.00",10,27/01/2020,3:03 PM
2010,Q1,sevices,Health,"15,404.00",1.9,"14,930.00",4.4,27/01/2020,3:03 PM
2010,Q1,sevices,Other services,"10,814.00",1.3,"10,889.96",2.6,27/01/2020,3:03 PM
2010,Q1,sevices,FISIM,"-16,525.00",-2.1,"-16,356.00",13.5,27/01/2020,3:03 PM
2010,Q1,,All industries at basic prices,"725,252.00",90.2,"711,447.00",7.1,27/01/2020,3:03 PM
2010,Q1,,Taxes on products,"78,807.00",9.8,"75,034.00",1.7,27/01/2020,3:03 PM
2010,Q1,,GDP at market prices,"804,059.00",100,"786,481.00",6.6,27/01/2020,3:03 PM
2010,Q1,,GDP (seasonally adjusted),"813,122.00",,"739,896.00",,27/01/2020,3:03 PM
2010,Q2,Agriculture,Agriculture,"213,293.00",27.3,"200,420.00",10.8,27/01/2020,3:03 PM
2010,Q2,Industry,Mining & Quarrying,"6,380.00",0.8,"5,849.00",37.4,27/01/2020,3:03 PM
2010,Q2,Industry,Manufacturing,"83,792.00",10.7,"82,195.00",-2.3,27/01/2020,3:03 PM
2010,Q2,Industry,Electricity & water supply,"16,447.00",2.1,"16,787.00",3.1,27/01/2020,3:03 PM
2010,Q2,Industry,Construction,"35,570.00",4.6,"33,898.00",20.6,27/01/2020,3:03 PM
2010,Q2,sevices,"Wholesale & Retail Trade

","55,612.00",7.1,"51,446.00",7.8,27/01/2020,3:03 PM
2010,Q2,sevices,Accommodation & restaurant,"9,817.00",1.3,"10,780.00",-0.9,27/01/2020,3:03 PM
2010,Q2,sevices,Transport & Storage,"51,952.00",6.7,"51,575.00",1.3,27/01/2020,3:03 PM
2010,Q2,sevices,Information & Communication,"15,599.00",2,"20,694.00",26.2,27/01/2020,3:03 PM
2010,Q2,sevices,Financial & Insurance,"45,125.00",5.8,"43,701.00",18.8,27/01/2020,3:03 PM
2010,Q2,sevices,Public administration,"32,742.00",4.2,"32,093.00",-0.8,27/01/2020,3:03 PM
2010,Q2,sevices,"Professional, Administration & Support Services","19,116.00",2.4,"18,768.00",3.5,27/01/2020,3:03 PM
2010,Q2,sevices,Real estate,"64,659.00",8.3,"64,321.00",5,27/01/2020,3:03 PM
2010,Q2,sevices,Education,"43,021.00",5.5,"48,880.00",11.3,27/01/2020,3:03 PM
2010,Q2,sevices,Health,"15,705.00",2,"14,953.00",8.4,27/01/2020,3:03 PM
2010,Q2,sevices,Other services,"11,096.00",1.4,"10,822.00",3.6,27/01/2020,3:03 PM
2010,Q2,sevices,FISIM,"-18,621.00",-2.4,"-17,235.00",17.1,27/01/2020,3:03 PM
2010,Q2,,All industries at basic prices,"701,303.00",89.8,"689,947.00",7.5,27/01/2020,3:03 PM
2010,Q2,,Taxes on products,"79,559.00",10.2,"77,471.00",8,27/01/2020,3:03 PM
2010,Q2,,GDP at market prices,"780,862.00",100,"767,418.00",7.6,27/01/2020,3:03 PM
2010,Q2,,GDP (seasonally adjusted),"837,670.00",,"761,606.00",,27/01/2020,3:03 PM
2010,Q3,Agriculture,Agriculture,"170,449.00",22,"154,103.00",7.7,27/01/2020,3:03 PM
2010,Q3,Industry,Mining & Quarrying,"7,211.00",0.9,"6,415.00",34,27/01/2020,3:03 PM
2010,Q3,Industry,Manufacturing,"86,782.00",11.2,"90,687.00",6.3,27/01/2020,3:03 PM
2010,Q3,Industry,Electricity & water supply,"13,057.00",1.7,"17,016.00",7.4,27/01/2020,3:03 PM
2010,Q3,Industry,Construction,"37,719.00",4.9,"35,064.00",21.3,27/01/2020,3:03 PM
2010,Q3,sevices,"Wholesale & Retail Trade

","66,400.00",8.6,"58,567.00",9.2,27/01/2020,3:03 PM
2010,Q3,sevices,Accommodation & restaurant,"11,594.00",1.5,"11,898.00",-8.2,27/01/2020,3:03 PM
2010,Q3,sevices,Transport & Storage,"54,700.00",7.1,"54,887.00",7.9,27/01/2020,3:03 PM
2010,Q3,sevices,Information & Communication,"19,170.00",2.5,"24,333.00",11.3,27/01/2020,3:03 PM
2010,Q3,sevices,Financial & Insurance,"48,116.00",6.2,"45,583.00",20,27/01/2020,3:03 PM
2010,Q3,sevices,Public administration,"33,569.00",4.3,"32,229.00",1.1,27/01/2020,3:03 PM
2010,Q3,sevices,"Professional, Administration & Support Services","20,901.00",2.7,"20,473.00",2.3,27/01/2020,3:03 PM
2010,Q3,sevices,Real estate,"66,691.00",8.6,"65,133.00",5,27/01/2020,3:03 PM
2010,Q3,sevices,Education,"43,680.00",5.6,"49,311.00",9.9,27/01/2020,3:03 PM
2010,Q3,sevices,Health,"16,101.00",2.1,"15,156.00",5.6,27/01/2020,3:03 PM
2010,Q3,sevices,Other services,"11,890.00",1.5,"11,236.00",4.5,27/01/2020,3:03 PM
2010,Q3,sevices,FISIM,"-20,209.00",-2.6,"-18,115.00",21.7,27/01/2020,3:03 PM
2010,Q3,,All industries at basic prices,"687,822.00",88.7,"673,976.00",8,27/01/2020,3:03 PM
2010,Q3,,Taxes on products,"87,386.00",11.3,"87,183.00",7.7,27/01/2020,3:03 PM
2010,Q3,,GDP at market prices,"775,208.00",100,"761,159.00",7.9,27/01/2020,3:03 PM
2010,Q3,,GDP (seasonally adjusted),"875,046.00",,"790,837.00",,27/01/2020,3:03 PM
2010,Q4,Agriculture,Agriculture,"168,952.00",20.9,"159,905.00",12.5,27/01/2020,3:03 PM
2010,Q4,Industry,Mining & Quarrying,"7,242.00",0.9,"6,207.00",26.8,27/01/2020,3:03 PM
2010,Q4,Industry,Manufacturing,"94,432.00",11.7,"96,944.00",11.2,27/01/2020,3:03 PM
2010,Q4,Industry,Electricity & water supply,"12,556.00",1.6,"17,428.00",6.1,27/01/2020,3:03 PM
2010,Q4,Industry,Construction,"39,895.00",4.9,"36,017.00",18.7,27/01/2020,3:03 PM
2010,Q4,sevices,"Wholesale & Retail Trade

","70,388.00",8.7,"60,234.00",14.1,27/01/2020,3:03 PM
2010,Q4,sevices,Accommodation & restaurant,"12,092.00",1.5,"11,046.00",5.9,27/01/2020,3:03 PM
2010,Q4,sevices,Transport & Storage,"59,297.00",7.3,"59,807.00",5.9,27/01/2020,3:03 PM
2010,Q4,sevices,Information & Communication,"17,459.00",2.2,"22,103.00",23.9,27/01/2020,3:03 PM
2010,Q4,sevices,Financial & Insurance,"43,583.00",5.4,"46,322.00",18.5,27/01/2020,3:03 PM
2010,Q4,sevices,Public administration,"39,286.00",4.9,"32,772.00",5.3,27/01/2020,3:03 PM
2010,Q4,sevices,"Professional, Administration & Support Services","21,270.00",2.6,"20,712.00",0.7,27/01/2020,3:03 PM
2010,Q4,sevices,Real estate,"68,106.00",8.4,"65,967.00",5.1,27/01/2020,3:03 PM
2010,Q4,sevices,Education,"44,207.00",5.5,"49,308.00",9.7,27/01/2020,3:03 PM
2010,Q4,sevices,Health,"18,831.00",2.3,"17,306.00",6.6,27/01/2020,3:03 PM
2010,Q4,sevices,Other services,"11,997.00",1.5,"11,166.00",3.6,27/01/2020,3:03 PM
2010,Q4,sevices,FISIM,"-16,537.00",-2,"-17,121.00",11.5,27/01/2020,3:03 PM
2010,Q4,,All industries at basic prices,"713,058.00",88.1,"696,123.00",10.7,27/01/2020,3:03 PM
2010,Q4,,Taxes on products,"96,113.00",11.9,"93,122.00",18.7,27/01/2020,3:03 PM
2010,Q4,,GDP at market prices,"809,171.00",100,"789,245.00",11.6,27/01/2020,3:03 PM
2010,Q4,,GDP (seasonally adjusted),"938,145.00",,"809,998.00",,27/01/2020,3:03 PM
2011,Q1,Agriculture,Agriculture,"278,102.14",30.2,"227,291.96",2.5,27/01/2020,3:03 PM
2011,Q1,Industry,Mining & Quarrying,"7,912.33",0.9,"6,971.16",28.8,27/01/2020,3:03 PM
2011,Q1,Industry,Manufacturing,"100,442.72",10.9,"94,173.06",6.9,27/01/2020,3:03 PM
2011,Q1,Industry,Electricity & water supply,"13,722.64",1.5,"17,913.70",6.6,27/01/2020,3:03 PM
2011,Q1,Industry,Construction,"34,829.81",3.8,"30,396.00",6,27/01/2020,3:03 PM
2011,Q1,sevices,"Wholesale & Retail Trade

","69,071.02",7.5,"56,618.82",15.6,27/01/2020,3:03 PM
2011,Q1,sevices,Accommodation & restaurant,"17,304.11",1.9,"18,687.62",6.7,27/01/2020,3:03 PM
2011,Q1,sevices,Transport & Storage,"56,940.27",6.2,"54,714.84",10.1,27/01/2020,3:03 PM
2011,Q1,sevices,Information & Communication,"13,824.55",1.5,"22,593.01",16.7,27/01/2020,3:03 PM
2011,Q1,sevices,Financial & Insurance,"47,419.79",5.2,"46,517.41",12.5,27/01/2020,3:03 PM
2011,Q1,sevices,Public administration,"37,972.00",4.1,"32,717.27",0.8,27/01/2020,3:03 PM
2011,Q1,sevices,"Professional, Administration & Support Services","20,806.27",2.3,"20,326.00",3.9,27/01/2020,3:03 PM
2011,Q1,sevices,Real estate,"71,208.84",7.7,"66,856.57",5.2,27/01/2020,3:03 PM
2011,Q1,sevices,Education,"49,641.98",5.4,"52,195.72",7.2,27/01/2020,3:03 PM
2011,Q1,sevices,Health,"16,985.26",1.8,"15,345.42",2.8,27/01/2020,3:03 PM
2011,Q1,sevices,Other services,"12,138.19",1.3,"11,112.85",2,27/01/2020,3:03 PM
2011,Q1,sevices,FISIM,"-19,601.58",-2.1,"-18,338.72",12.1,27/01/2020,3:03 PM
2011,Q1,,All industries at basic prices,"828,720.32",90.1,"756,092.67",6.3,27/01/2020,3:03 PM
2011,Q1,,Taxes on products,"91,189.30",9.9,"89,591.16",19.4,27/01/2020,3:03 PM
2011,Q1,,GDP at market prices,"919,909.62",100,"845,683.83",7.5,27/01/2020,3:03 PM
2011,Q1,,GDP (seasonally adjusted),"873,106.73",,"840,308.20",,27/01/2020,3:03 PM
2011,Q2,Agriculture,Agriculture,"273,637.09",29.6,"206,455.99",3,27/01/2020,3:03 PM
2011,Q2,Industry,Mining & Quarrying,"8,170.98",0.9,"7,063.30",20.8,27/01/2020,3:03 PM
2011,Q2,Industry,Manufacturing,"102,647.13",11.1,"92,965.70",13.1,27/01/2020,3:03 PM
2011,Q2,Industry,Electricity & water supply,"16,476.33",1.8,"18,804.89",12,27/01/2020,3:03 PM
2011,Q2,Industry,Construction,"40,572.19",4.4,"34,530.64",1.9,27/01/2020,3:03 PM
2011,Q2,sevices,"Wholesale & Retail Trade

","70,232.25",7.6,"55,698.96",8.3,27/01/2020,3:03 PM
2011,Q2,sevices,Accommodation & restaurant,"10,241.37",1.1,"11,055.97",2.6,27/01/2020,3:03 PM
2011,Q2,sevices,Transport & Storage,"58,377.86",6.3,"53,487.27",3.7,27/01/2020,3:03 PM
2011,Q2,sevices,Information & Communication,"14,624.38",1.6,"24,792.14",19.8,27/01/2020,3:03 PM
2011,Q2,sevices,Financial & Insurance,"46,978.35",5.1,"45,542.37",4.2,27/01/2020,3:03 PM
2011,Q2,sevices,Public administration,"38,160.04",4.1,"33,296.70",3.8,27/01/2020,3:03 PM
2011,Q2,sevices,"Professional, Administration & Support Services","20,251.23",2.2,"18,561.22",-1.1,27/01/2020,3:03 PM
2011,Q2,sevices,Real estate,"74,202.12",8,"67,670.12",5.2,27/01/2020,3:03 PM
2011,Q2,sevices,Education,"49,237.15",5.3,"52,253.23",6.9,27/01/2020,3:03 PM
2011,Q2,sevices,Health,"16,947.43",1.8,"15,309.32",2.4,27/01/2020,3:03 PM
2011,Q2,sevices,Other services,"12,021.48",1.3,"10,958.60",1.3,27/01/2020,3:03 PM
2011,Q2,sevices,FISIM,"-19,551.18",-2.1,"-18,117.58",5.1,27/01/2020,3:03 PM
2011,Q2,,All industries at basic prices,"833,226.23",90.2,"730,328.84",5.9,27/01/2020,3:03 PM
2011,Q2,,Taxes on products,"90,530.37",9.8,"87,995.99",13.6,27/01/2020,3:03 PM
2011,Q2,,GDP at market prices,"923,756.61",100,"818,324.83",6.6,27/01/2020,3:03 PM
2011,Q2,,GDP (seasonally adjusted),"911,787.57",,"850,184.84",,27/01/2020,3:03 PM
2011,Q3,Agriculture,Agriculture,"208,751.18",22.7,"160,827.40",4.4,27/01/2020,3:03 PM
2011,Q3,Industry,Mining & Quarrying,"8,617.38",0.9,"7,362.61",14.8,27/01/2020,3:03 PM
2011,Q3,Industry,Manufacturing,"114,409.39",12.5,"95,896.66",5.7,27/01/2020,3:03 PM
2011,Q3,Industry,Electricity & water supply,"17,594.13",1.9,"18,303.68",7.6,27/01/2020,3:03 PM
2011,Q3,Industry,Construction,"42,047.01",4.6,"35,138.62",0.2,27/01/2020,3:03 PM
2011,Q3,sevices,"Wholesale & Retail Trade

","79,855.23",8.7,"61,862.53",5.6,27/01/2020,3:03 PM
2011,Q3,sevices,Accommodation & restaurant,"11,911.69",1.3,"12,367.91",3.9,27/01/2020,3:03 PM
